[17-Dec-2017 15:20:02 Africa/Lagos] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/tukoolbe/public_html/insert.php on line 3
[26-Dec-2017 06:57:55 Africa/Lagos] PHP Warning:  mysqli::mysqli(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: YES) in /home/tukoolbe/public_html/tukool/includes/connectdb.php on line 20
[26-Dec-2017 15:17:20 Africa/Lagos] PHP Warning:  mysqli::mysqli(): (HY000/1044): Access denied for user 'tukoolbe_admin'@'localhost' to database 'tukoolbe_db' in /home/tukoolbe/public_html/tukool/includes/connectdb.php on line 20
[27-Dec-2017 01:44:34 Africa/Lagos] PHP Warning:  mysqli::mysqli(): (HY000/1044): Access denied for user 'tukoolbe_admin'@'localhost' to database 'tukoolbe_db' in /home/tukoolbe/public_html/tukool/includes/connectdb.php on line 20
[27-Dec-2017 01:48:15 Africa/Lagos] PHP Warning:  mysqli::mysqli(): (HY000/1044): Access denied for user 'tukoolbe_admin'@'localhost' to database 'tukoolbe_db' in /home/tukoolbe/public_html/tukool/includes/connectdb.php on line 20
[27-Dec-2017 01:53:27 Africa/Lagos] PHP Warning:  mysqli::mysqli(): (HY000/1044): Access denied for user 'tukoolbe_admin'@'localhost' to database 'tukoolbe_db' in /home/tukoolbe/public_html/tukool/includes/connectdb.php on line 20
[27-Dec-2017 01:55:47 Africa/Lagos] PHP Warning:  mysqli::mysqli(): (HY000/1044): Access denied for user 'tukoolbe_admin'@'localhost' to database 'tukoolbe_db' in /home/tukoolbe/public_html/tukool/includes/connectdb.php on line 20
[27-Dec-2017 02:08:29 Africa/Lagos] PHP Warning:  mysqli::mysqli(): (HY000/1044): Access denied for user 'tukoolbe_admin'@'localhost' to database 'tukoolbe_db' in /home/tukoolbe/public_html/tukool/includes/connectdb.php on line 20
[27-Dec-2017 02:17:54 Africa/Lagos] PHP Fatal error:  Call to undefined function sendEmail() in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 62
[27-Dec-2017 13:32:40 Africa/Lagos] PHP Fatal error:  Call to undefined function sendEmail() in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 62
[27-Dec-2017 17:28:35 Africa/Lagos] PHP Fatal error:  Call to undefined function sendEmail() in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 62
[28-Dec-2017 22:55:39 Africa/Lagos] PHP Warning:  mail() has been disabled for security reasons in /home/tukoolbe/public_html/tukool/includes/sendmail.php on line 17
[28-Dec-2017 22:55:39 Africa/Lagos] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/tukoolbe/public_html/tukool/includes/sendmail.php:23) in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 63
[28-Dec-2017 23:16:31 Africa/Lagos] PHP Warning:  mail() has been disabled for security reasons in /home/tukoolbe/public_html/tukool/includes/sendmail.php on line 17
[28-Dec-2017 23:16:31 Africa/Lagos] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/tukoolbe/public_html/tukool/includes/sendmail.php:23) in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 63
[28-Dec-2017 23:31:38 Africa/Lagos] PHP Warning:  require(includes/sendemail.php): failed to open stream: No such file or directory in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:31:38 Africa/Lagos] PHP Warning:  require(includes/sendemail.php): failed to open stream: No such file or directory in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:31:38 Africa/Lagos] PHP Fatal error:  require(): Failed opening required 'includes/sendemail.php' (include_path='.:/opt/cpanel/ea-php56/root/usr/share/pear') in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:31:43 Africa/Lagos] PHP Warning:  require(includes/sendemail.php): failed to open stream: No such file or directory in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:31:43 Africa/Lagos] PHP Warning:  require(includes/sendemail.php): failed to open stream: No such file or directory in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:31:43 Africa/Lagos] PHP Fatal error:  require(): Failed opening required 'includes/sendemail.php' (include_path='.:/opt/cpanel/ea-php56/root/usr/share/pear') in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:31:51 Africa/Lagos] PHP Warning:  require(includes/sendemail.php): failed to open stream: No such file or directory in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:31:51 Africa/Lagos] PHP Warning:  require(includes/sendemail.php): failed to open stream: No such file or directory in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:31:51 Africa/Lagos] PHP Fatal error:  require(): Failed opening required 'includes/sendemail.php' (include_path='.:/opt/cpanel/ea-php56/root/usr/share/pear') in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:33:23 Africa/Lagos] PHP Warning:  require(includes/sendemail.php): failed to open stream: No such file or directory in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:33:23 Africa/Lagos] PHP Warning:  require(includes/sendemail.php): failed to open stream: No such file or directory in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:33:23 Africa/Lagos] PHP Fatal error:  require(): Failed opening required 'includes/sendemail.php' (include_path='.:/opt/cpanel/ea-php56/root/usr/share/pear') in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:33:26 Africa/Lagos] PHP Warning:  require(includes/sendemail.php): failed to open stream: No such file or directory in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:33:26 Africa/Lagos] PHP Warning:  require(includes/sendemail.php): failed to open stream: No such file or directory in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:33:26 Africa/Lagos] PHP Fatal error:  require(): Failed opening required 'includes/sendemail.php' (include_path='.:/opt/cpanel/ea-php56/root/usr/share/pear') in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:33:40 Africa/Lagos] PHP Warning:  require(includes/sendemail.php): failed to open stream: No such file or directory in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:33:40 Africa/Lagos] PHP Warning:  require(includes/sendemail.php): failed to open stream: No such file or directory in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:33:40 Africa/Lagos] PHP Fatal error:  require(): Failed opening required 'includes/sendemail.php' (include_path='.:/opt/cpanel/ea-php56/root/usr/share/pear') in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
[28-Dec-2017 23:34:49 Africa/Lagos] PHP Warning:  require(includes/sendemail.php): failed to open stream: No such file or directory in /home/tukoolbe/public_html/tukool/models/mod_regi_users.php on line 4
